요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
토요일,5,2529,마포,하선,20.0,20.0,15.0,11.0,13.0,17.0,19.0,24.0,29.0,42.0,42.0,49.0,51.0,47.0,54.0,52.0,53.0,54.0,55.0,50.0,54.0,49.0,58.0,39.0,32.0,26.0,25.0,27.0,26.0,34.0,38.0,33.0,21.0,24.0,26.0,25.0,13.0,0.0,
토요일,5,2530,공덕,상선,7.0,17.0,13.0,10.0,11.0,14.0,14.0,18.0,20.0,33.0,34.0,41.0,42.0,42.0,50.0,48.0,50.0,59.0,57.0,57.0,56.0,58.0,58.0,45.0,37.0,29.0,27.0,31.0,28.0,35.0,35.0,36.0,27.0,28.0,29.0,38.0,27.0,,
토요일,5,2530,공덕,하선,17.0,19.0,15.0,11.0,12.0,17.0,18.0,24.0,29.0,42.0,42.0,50.0,52.0,47.0,54.0,52.0,54.0,53.0,51.0,49.0,51.0,47.0,51.0,34.0,29.0,21.0,20.0,23.0,23.0,28.0,32.0,27.0,18.0,20.0,22.0,22.0,11.0,0.0,
토요일,5,2531,애오개,상선,7.0,16.0,12.0,8.0,9.0,11.0,13.0,16.0,18.0,30.0,29.0,35.0,39.0,36.0,44.0,43.0,45.0,51.0,51.0,54.0,53.0,53.0,58.0,42.0,35.0,27.0,26.0,30.0,27.0,35.0,33.0,35.0,27.0,27.0,28.0,38.0,28.0,0.0,
토요일,5,2531,애오개,하선,12.0,19.0,15.0,11.0,12.0,17.0,18.0,22.0,30.0,42.0,42.0,51.0,52.0,45.0,54.0,52.0,54.0,54.0,53.0,49.0,53.0,46.0,52.0,34.0,29.0,21.0,20.0,23.0,23.0,26.0,31.0,27.0,18.0,20.0,21.0,24.0,11.0,0.0,
토요일,5,2532,충정로,상선,9.0,16.0,10.0,8.0,10.0,11.0,12.0,16.0,18.0,29.0,28.0,34.0,39.0,35.0,43.0,42.0,45.0,50.0,53.0,53.0,56.0,51.0,58.0,42.0,35.0,27.0,27.0,30.0,27.0,35.0,35.0,35.0,28.0,28.0,27.0,38.0,29.0,10.0,
토요일,5,2532,충정로,하선,12.0,19.0,15.0,10.0,12.0,16.0,18.0,21.0,30.0,42.0,40.0,51.0,52.0,45.0,54.0,52.0,53.0,53.0,51.0,47.0,50.0,43.0,51.0,33.0,28.0,22.0,20.0,22.0,22.0,25.0,29.0,26.0,17.0,18.0,20.0,22.0,13.0,0.0,
토요일,5,2533,서대문,상선,9.0,16.0,10.0,8.0,9.0,12.0,12.0,15.0,18.0,29.0,27.0,34.0,38.0,35.0,41.0,41.0,42.0,49.0,51.0,50.0,54.0,50.0,57.0,41.0,33.0,26.0,25.0,29.0,26.0,36.0,35.0,34.0,28.0,28.0,27.0,38.0,24.0,12.0,
토요일,5,2533,서대문,하선,14.0,17.0,15.0,10.0,11.0,16.0,17.0,21.0,29.0,41.0,39.0,50.0,51.0,44.0,52.0,52.0,51.0,56.0,53.0,50.0,53.0,45.0,52.0,34.0,29.0,22.0,21.0,23.0,22.0,25.0,29.0,26.0,17.0,18.0,22.0,22.0,13.0,0.0,
토요일,5,2534,광화문,상선,9.0,17.0,11.0,8.0,10.0,12.0,12.0,16.0,19.0,30.0,28.0,35.0,38.0,35.0,44.0,42.0,42.0,49.0,50.0,49.0,53.0,48.0,58.0,40.0,32.0,24.0,25.0,28.0,26.0,35.0,33.0,34.0,28.0,28.0,27.0,38.0,20.0,,
토요일,5,2534,광화문,하선,13.0,15.0,12.0,8.0,10.0,14.0,15.0,19.0,23.0,35.0,34.0,42.0,43.0,40.0,46.0,47.0,46.0,54.0,53.0,51.0,54.0,48.0,57.0,39.0,32.0,25.0,25.0,28.0,25.0,34.0,36.0,35.0,24.0,23.0,24.0,26.0,13.0,0.0,
토요일,5,2535,종로3가,상선,10.0,20.0,13.0,10.0,12.0,15.0,15.0,19.0,25.0,34.0,37.0,42.0,48.0,42.0,52.0,49.0,50.0,54.0,53.0,50.0,55.0,47.0,55.0,38.0,31.0,23.0,22.0,24.0,22.0,29.0,28.0,28.0,24.0,23.0,24.0,36.0,20.0,,
토요일,5,2535,종로3가,하선,8.0,17.0,11.0,7.0,9.0,12.0,12.0,14.0,17.0,27.0,25.0,31.0,32.0,31.0,38.0,38.0,37.0,46.0,43.0,46.0,49.0,46.0,51.0,38.0,31.0,24.0,25.0,29.0,26.0,36.0,37.0,37.0,26.0,27.0,29.0,33.0,19.0,0.0,
토요일,5,2536,을지로4가,상선,9.0,20.0,13.0,10.0,12.0,15.0,17.0,22.0,28.0,38.0,42.0,46.0,51.0,44.0,55.0,49.0,50.0,51.0,51.0,47.0,50.0,42.0,50.0,34.0,26.0,20.0,18.0,20.0,18.0,22.0,22.0,21.0,18.0,18.0,21.0,28.0,19.0,,
토요일,5,2536,을지로4가,하선,9.0,16.0,10.0,7.0,8.0,11.0,10.0,13.0,15.0,23.0,22.0,28.0,29.0,27.0,34.0,35.0,35.0,41.0,41.0,43.0,46.0,43.0,49.0,36.0,29.0,24.0,25.0,29.0,26.0,35.0,37.0,37.0,25.0,25.0,28.0,33.0,19.0,0.0,
토요일,5,2537,동대문역사문화공원,상선,9.0,20.0,13.0,11.0,12.0,15.0,17.0,22.0,26.0,38.0,39.0,45.0,48.0,44.0,51.0,46.0,47.0,47.0,47.0,43.0,45.0,41.0,43.0,30.0,24.0,17.0,16.0,17.0,16.0,19.0,19.0,19.0,16.0,16.0,19.0,28.0,17.0,,
토요일,5,2537,동대문역사문화공원,하선,12.0,17.0,11.0,7.0,9.0,12.0,11.0,14.0,15.0,24.0,22.0,26.0,29.0,28.0,34.0,35.0,35.0,43.0,41.0,46.0,49.0,48.0,52.0,42.0,32.0,26.0,25.0,31.0,28.0,36.0,41.0,38.0,28.0,28.0,32.0,37.0,21.0,0.0,
토요일,5,2538,청구,상선,10.0,20.0,15.0,12.0,13.0,18.0,20.0,24.0,30.0,44.0,44.0,50.0,55.0,50.0,54.0,51.0,54.0,53.0,50.0,47.0,46.0,41.0,45.0,29.0,25.0,17.0,17.0,17.0,16.0,19.0,21.0,20.0,18.0,17.0,21.0,33.0,17.0,,
토요일,5,2538,청구,하선,17.0,23.0,13.0,8.0,10.0,13.0,12.0,16.0,18.0,27.0,26.0,30.0,32.0,31.0,38.0,40.0,37.0,46.0,46.0,50.0,54.0,52.0,58.0,46.0,37.0,31.0,28.0,35.0,32.0,40.0,45.0,43.0,31.0,31.0,38.0,45.0,31.0,8.0,
토요일,5,2539,신금호,상선,12.0,19.0,16.0,13.0,14.0,20.0,22.0,26.0,32.0,48.0,48.0,55.0,60.0,56.0,61.0,57.0,59.0,60.0,58.0,53.0,54.0,47.0,50.0,34.0,29.0,21.0,19.0,20.0,18.0,21.0,23.0,23.0,21.0,20.0,27.0,37.0,23.0,,
토요일,5,2539,신금호,하선,19.0,23.0,13.0,9.0,10.0,13.0,12.0,16.0,18.0,27.0,26.0,30.0,34.0,31.0,38.0,40.0,38.0,46.0,46.0,50.0,51.0,50.0,58.0,45.0,37.0,30.0,26.0,34.0,32.0,40.0,41.0,41.0,31.0,30.0,37.0,42.0,29.0,5.0,
토요일,5,2540,행당,상선,11.0,19.0,16.0,13.0,14.0,21.0,21.0,25.0,32.0,48.0,47.0,54.0,60.0,53.0,62.0,56.0,58.0,60.0,57.0,53.0,53.0,46.0,51.0,34.0,29.0,21.0,19.0,20.0,19.0,22.0,24.0,23.0,23.0,20.0,27.0,38.0,24.0,,
토요일,5,2540,행당,하선,22.0,24.0,13.0,10.0,10.0,13.0,14.0,16.0,18.0,28.0,28.0,31.0,35.0,32.0,39.0,42.0,38.0,46.0,46.0,49.0,51.0,50.0,58.0,45.0,37.0,29.0,28.0,32.0,31.0,39.0,40.0,40.0,31.0,29.0,34.0,42.0,31.0,2.0,
토요일,5,2541,왕십리,상선,10.0,19.0,15.0,12.0,14.0,20.0,21.0,25.0,31.0,46.0,46.0,52.0,57.0,51.0,61.0,54.0,55.0,60.0,57.0,53.0,53.0,46.0,51.0,34.0,28.0,22.0,19.0,20.0,20.0,22.0,26.0,23.0,24.0,21.0,29.0,39.0,17.0,,
토요일,5,2541,왕십리,하선,15.0,31.0,16.0,11.0,11.0,15.0,16.0,18.0,22.0,32.0,31.0,34.0,42.0,38.0,44.0,47.0,49.0,56.0,55.0,61.0,63.0,61.0,73.0,56.0,46.0,37.0,37.0,42.0,40.0,55.0,54.0,56.0,44.0,44.0,51.0,57.0,47.0,0.0,
토요일,5,2542,마장,상선,18.0,24.0,20.0,17.0,20.0,27.0,28.0,34.0,41.0,62.0,60.0,70.0,74.0,66.0,77.0,72.0,69.0,77.0,69.0,66.0,67.0,58.0,63.0,42.0,35.0,25.0,23.0,24.0,22.0,25.0,29.0,27.0,27.0,23.0,32.0,43.0,21.0,,
토요일,5,2542,마장,하선,8.0,32.0,16.0,10.0,11.0,14.0,15.0,18.0,22.0,30.0,31.0,34.0,40.0,38.0,43.0,47.0,47.0,53.0,55.0,59.0,63.0,60.0,72.0,55.0,45.0,37.0,36.0,41.0,40.0,54.0,54.0,52.0,44.0,43.0,50.0,55.0,45.0,0.0,
토요일,5,2543,답십리,상선,18.0,23.0,20.0,16.0,20.0,26.0,28.0,34.0,39.0,61.0,60.0,68.0,71.0,65.0,76.0,70.0,67.0,76.0,68.0,64.0,64.0,58.0,63.0,43.0,32.0,24.0,23.0,23.0,21.0,24.0,28.0,27.0,26.0,23.0,33.0,43.0,23.0,,
토요일,5,2543,답십리,하선,13.0,35.0,17.0,11.0,12.0,15.0,16.0,19.0,23.0,32.0,31.0,34.0,39.0,38.0,43.0,47.0,46.0,51.0,54.0,58.0,63.0,58.0,70.0,54.0,46.0,35.0,35.0,39.0,38.0,48.0,54.0,49.0,42.0,40.0,47.0,53.0,51.0,15.0,
토요일,5,2544,장한평,상선,15.0,23.0,18.0,17.0,18.0,24.0,26.0,32.0,36.0,58.0,56.0,64.0,68.0,67.0,67.0,67.0,65.0,73.0,65.0,61.0,62.0,57.0,60.0,41.0,32.0,24.0,23.0,22.0,21.0,25.0,29.0,27.0,28.0,23.0,38.0,42.0,19.0,,
토요일,5,2544,장한평,하선,18.0,33.0,17.0,11.0,12.0,15.0,17.0,19.0,25.0,33.0,30.0,36.0,39.0,36.0,44.0,47.0,46.0,53.0,57.0,57.0,62.0,58.0,70.0,51.0,46.0,34.0,34.0,41.0,37.0,45.0,51.0,48.0,38.0,36.0,46.0,42.0,52.0,12.0,
토요일,5,2545,군자,상선,14.0,23.0,20.0,16.0,18.0,25.0,26.0,31.0,34.0,58.0,55.0,62.0,66.0,65.0,66.0,65.0,64.0,67.0,65.0,58.0,62.0,54.0,57.0,41.0,30.0,24.0,23.0,21.0,22.0,25.0,31.0,28.0,28.0,24.0,40.0,43.0,23.0,0.0,
토요일,5,2545,군자,하선,17.0,47.0,24.0,16.0,15.0,22.0,23.0,28.0,35.0,46.0,40.0,49.0,55.0,47.0,59.0,59.0,58.0,66.0,66.0,68.0,74.0,70.0,82.0,61.0,53.0,39.0,37.0,44.0,46.0,51.0,59.0,53.0,42.0,39.0,49.0,54.0,59.0,0.0,
